"Ссылка","ПометкаУдаления","Родитель","ЭтоГруппа","Код","Наименование","Артикул","Поставщик","ФайлКартинки","Вид","Штрихкод","ВТ_Вес"
"e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8cfecc6a7df2","False","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079ae","False","000000024","Кроссовки","Kros001","e1cib/data/Справочник.Контрагенты?ref=a9c500055d49b45e11dbf348086715b0","e1cib/data/Справочник.ХранимыеФайлы?ref=8ca1000d8843cd1b11dc8e99ff9cc9d9","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8cfecc6a7df3","False","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079ae","False","000000025","Пинетки","Pin23","e1cib/data/Справочник.Контрагенты?ref=a9b000055d49b45e11db8e8bd1cb82a7","e1cib/data/Справочник.ХранимыеФайлы?ref=8ca1000d8843cd1b11dc8eb43bdcf26d","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8cfecc6a7df4","False","e1cib/data/Справочник.Товары?ref=a100005056c0000811e3f7c0ef680671","False","000000026","Молоко","Mol34","e1cib/data/Справочник.Контрагенты?ref=a9bd00055d49b45e11dbd7c695f19911","","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8cfecc6a7df5","False","e1cib/data/Справочник.Товары?ref=a100005056c0000811e3f7c0ef680671","False","000000027","Ряженка","R45","e1cib/data/Справочник.Контрагенты?ref=a9bd00055d49b45e11dbd7c695f19911","","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8cfecc6a7df6","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db97442336eb55","False","000000028","Veko345MO","VEKO00001","e1cib/data/Справочник.Контрагенты?ref=a9d700179a069b1011dc44ecea1d4f5b","e1cib/data/Справочник.ХранимыеФайлы?ref=8ca1000d8843cd1b11dc8ec1ffbf44d5","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db967987f1c226","False","000000029","Хлеб","H987","e1cib/data/Справочник.Контрагенты?ref=8ca0000d8843cd1b11dc8d043d710076","","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db967987f1c226","False","000000030","Колбаса","Kol67","e1cib/data/Справочник.Контрагенты?ref=a9bd00055d49b45e11dbd7c695f19911","","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eacd471d6c7","False","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079ae","False","000000031","Босоножки","Bos0009","e1cib/data/Справочник.Контрагенты?ref=a9b000055d49b45e11db8e8bd1cb82a7","e1cib/data/Справочник.ХранимыеФайлы?ref=8ca1000d8843cd1b11dc8eacd471d6cd","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db967987f1c226","False","000000032","Торт ","Т78","e1cib/data/Справочник.Контрагенты?ref=8ca0000d8843cd1b11dc8d043d710076","e1cib/data/Справочник.ХранимыеФайлы?ref=8ca1000d8843cd1b11dc8eb43bdcf26e","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca2000d8843cd1b11dc91039d7fd10b","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db97442336eb53","False","000000033","VekoNT02","NT02","e1cib/data/Справочник.Контрагенты?ref=a9d700179a069b1011dc44ecea1d4f5b","e1cib/data/Справочник.ХранимыеФайлы?ref=8ca2000d8843cd1b11dc91090c861da5","Enum.ВидыТоваров.Товар","",""
