"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Users","Дымовые тесты","Открытие формы объекта ""Заказ""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""Пользователи""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""Встречи""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ПочтовыеВложения""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""СостояниеИсходящихПисем""","0","0","1","0","0"
"Users","проверка  Движения документа Расход товара","_0309 Регистр ТоварныеЗапасы","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""ОперацияПоУчетуТоваров""","0","0","1","0","0"
"Users","Отчет Остатки","_0201 Загрузка данных расхода и прихода","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""ЦеныТоваров""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ТоварныеЗапасы""","0","0","1","0","0"
"Users","Товары добавление внешних файлов","_0101 Подготовка","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ВзаимосвязьПродажТоваров""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""СостояниеИсходящихПисем""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ЖурналРегистрации""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""Товары""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""Банки""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""VAExtension_ОткрытьВсеФункции""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""Организации""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""Продажи""","0","0","1","0","0"
"Users","Отчет Остатки","_0202 проведение","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""Характеристики""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""УправлениеСистемойВзаимодействия""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ВидыЦен""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""VAExtension_ОткрытьНастройкаНачальнойСтраницы""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""ТоварныеЗапасы""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""ВидыЦен""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ПриходТовара""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""Организации""","0","0","1","0","0"
"Users","Документ Расход товара","_0303 Проверка печатной формы","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""МобильныеУстройства""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""КурсыВалют""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""УправлениеАгрегатамиПродаж""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""Взаиморасчеты""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""НастройкиПользователя""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""РасчетныеСчета""","0","0","1","0","0"
"Users","Отчет Остатки","_0203 Сравнение с макетом","0","0","1","0","0"
"Users","Документ Расход товара","_0302 Заполнение документа","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""НастройкиТорговогоОборудования""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""КурсыВалют""","0","0","1","0","0"
